Date,Open,High,Low,Close,Adj Close,Volume
2017-09-09,71.089996,71.110001,63.330002,67.08000200000001,67.08000200000001,105909535
2017-09-10,67.08000200000001,71.209999,65.550003,68.129997,68.129997,73656622
2017-09-11,68.129997,71.970001,64.720001,65.889999,65.889999,97264307
2017-09-12,65.889999,66.339996,57.869999,61.779999,61.779999,140918803
2017-09-13,61.779999,62.66,44.900002,45.200001,45.200001,205038177
2017-09-14,45.200001,55.650002,33.380001,52.0,52.0,343835193
2017-09-15,52.0,57.34,50.540001000000004,52.099998,52.099998,120177655
2017-09-16,52.099998,53.18,47.73,51.0,51.0,73060667
2017-09-17,51.0,57.490002000000004,50.98,56.16,56.16,111381221
2017-09-18,56.16,56.700001,51.27,52.799999,52.799999,89515520
2017-09-19,52.799999,54.369999,51.07,51.560001,51.560001,46361439
2017-09-20,51.560001,52.48,45.110001000000004,46.459998999999996,46.459998999999996,100420510
2017-09-21,46.459998999999996,49.029999,44.799999,47.669998,47.669998,76916515
2017-09-22,47.669998,50.009997999999996,46.380001,49.290001000000004,49.290001000000004,44793106
2017-09-23,49.290001000000004,49.400002,47.18,47.5,47.5,29589565
2017-09-24,47.5,53.16,47.470001,52.27,52.27,66087743
2017-09-25,52.27,54.369999,51.419998,52.27,52.27,48431172
2017-09-26,52.27,57.389998999999996,52.240002000000004,56.900002,56.900002,75024623
2017-09-27,56.900002,57.16,54.0,54.91,54.91,64516773
2017-09-28,54.91,54.93,50.439999,52.799999,52.799999,64227763
2017-09-29,52.799999,55.91,52.75,55.41,55.41,36860837
2017-09-30,55.41,55.549999,53.580002,54.799999,54.799999,30401267
2017-10-01,54.799999,54.970001,52.93,53.290001000000004,53.290001000000004,30684048
2017-10-02,53.290001000000004,53.540001000000004,51.34,52.150002,52.150002,30707803
2017-10-03,52.150002,52.98,50.529999,51.220001,51.220001,31053173
2017-10-04,51.220001,51.869999,50.169998,51.639998999999996,51.639998999999996,26593841
2017-10-05,51.639998999999996,52.75,51.34,52.080002,52.080002,21668387
2017-10-06,52.080002,52.900002,51.610001000000004,52.57,52.57,19001783
2017-10-07,52.57,54.790001000000004,52.32,53.299999,53.299999,36217438
2017-10-08,53.299999,53.439999,48.119999,50.080002,50.080002,54786620
2017-10-09,50.080002,51.630001,49.689999,50.580002,50.580002,31741909
2017-10-10,50.580002,51.049999,50.18,50.790001000000004,50.790001000000004,19957142
2017-10-11,50.790001000000004,59.720001,50.73,59.720001,59.720001,121666559
2017-10-12,59.720001,60.759997999999996,55.110001000000004,59.049999,59.049999,122355541
2017-10-13,59.049999,66.480003,58.34,63.939999,63.939999,111286807
2017-10-14,63.939999,69.949997,62.080002,65.57,65.57,136097133
2017-10-15,65.58000200000001,66.410004,62.279999,64.760002,64.760002,57750104
2017-10-16,64.760002,64.970001,58.5,59.189999,59.189999,62123185
2017-10-17,59.189999,61.889998999999996,53.049999,60.549999,60.549999,98042683
2017-10-18,60.549999,61.389998999999996,58.349998,59.68,59.68,59145290
2017-10-19,59.68,62.169998,58.310001,60.09,60.09,55677469
2017-10-20,60.080002,60.360001000000004,56.169998,58.09,58.09,47776832
2017-10-21,58.09,58.669998,55.73,56.509997999999996,56.509997999999996,30628993
2017-10-22,56.52,56.57,51.919998,54.630001,54.630001,63386543
2017-10-23,54.630001,58.98,52.349998,55.560001,55.560001,69816687
2017-10-24,55.560001,56.400002,53.52,56.189999,56.189999,36591936
2017-10-25,56.189999,56.950001,54.900002,55.549999,55.549999,25040264
2017-10-26,55.549999,55.990002000000004,54.689999,55.02,55.02,19515585
2017-10-27,55.02,55.790001000000004,53.950001,54.220001,54.220001,16837184
2017-10-28,54.220001,57.830002,53.860001000000004,56.75,56.75,41624090
2017-10-30,56.75,58.66,55.810001,56.220001,56.220001,32778628
